"Block","Trial","Arrow","Condition","Correct","RT","subj_num","Time","Task"
4,55,2,0,1,0.47716,1,1,"Flanker"
4,56,1,1,1,0.421,1,1,"Flanker"
4,57,2,1,1,0.42717,1,1,"Flanker"
4,58,2,1,1,0.46087,1,1,"Flanker"
4,59,2,0,1,0.3772,1,1,"Flanker"
4,60,2,1,1,0.3733,1,1,"Flanker"
4,61,2,1,1,0.30552,1,1,"Flanker"
4,62,1,2,1,0.49308,1,1,"Flanker"
4,63,1,0,1,0.50614,1,1,"Flanker"
4,64,1,2,1,1.193,1,1,"Flanker"
4,65,1,0,1,0.35093,1,1,"Flanker"
4,66,1,2,1,0.3947,1,1,"Flanker"
4,67,1,0,1,0.36545,1,1,"Flanker"
4,68,2,2,0,0.35238,1,1,"Flanker"
4,69,1,0,1,0.41997,1,1,"Flanker"
4,70,2,2,1,0.39894,1,1,"Flanker"
4,71,1,1,1,0.44356,1,1,"Flanker"
4,72,2,2,0,0.42618,1,1,"Flanker"
4,73,2,0,1,0.37557,1,1,"Flanker"
4,74,1,2,1,0.45644,1,1,"Flanker"
4,75,2,0,1,0.34301,1,1,"Flanker"
4,76,2,1,1,0.46531,1,1,"Flanker"
4,77,2,2,1,0.4955,1,1,"Flanker"
4,78,2,1,1,0.41358,1,1,"Flanker"
4,79,1,0,1,0.58522,1,1,"Flanker"
4,80,1,2,1,0.61825,1,1,"Flanker"
4,81,1,1,1,0.48458,1,1,"Flanker"
4,82,1,2,1,0.48971,1,1,"Flanker"
4,83,2,0,1,0.391,1,1,"Flanker"
4,84,2,2,0,0.46554,1,1,"Flanker"
4,85,1,0,1,0.41519,1,1,"Flanker"
4,86,1,1,1,0.42148,1,1,"Flanker"
4,87,2,1,1,0.40884,1,1,"Flanker"
4,88,1,2,1,0.35921,1,1,"Flanker"
4,89,1,1,1,0.39117,1,1,"Flanker"
4,90,1,2,1,0.37988,1,1,"Flanker"
4,91,1,2,1,0.38254,1,1,"Flanker"
4,92,1,0,1,0.37091,1,1,"Flanker"
4,93,1,2,1,0.34244,1,1,"Flanker"
4,94,1,1,1,0.37919,1,1,"Flanker"
4,95,1,1,1,0.31746,1,1,"Flanker"
4,96,2,0,1,0.439,1,1,"Flanker"
4,97,2,2,1,0.4261,1,1,"Flanker"
4,98,2,0,1,0.38614,1,1,"Flanker"
4,99,1,2,1,0.39574,1,1,"Flanker"
